Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 20,971,520
  lm_head                 : 4,194,304
  transformer_matrices    : 31,457,920
  scalars                 : 20
  total                   : 60,818,068
Estimated FLOPs per token: 2.957023e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 28891ms | tok/sec: 9,073 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867662 | lrm: 1.00 | dt: 186ms | tok/sec: 1,411,863 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.488247 | lrm: 1.00 | dt: 190ms | tok/sec: 1,379,455 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.041240 | lrm: 1.00 | dt: 190ms | tok/sec: 1,382,596 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.667964 | lrm: 1.00 | dt: 191ms | tok/sec: 1,373,915 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.336567 | lrm: 1.00 | dt: 207ms | tok/sec: 1,267,445 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.081394 | lrm: 1.00 | dt: 197ms | tok/sec: 1,330,891 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.875023 | lrm: 1.00 | dt: 195ms | tok/sec: 1,341,139 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.701212 | lrm: 1.00 | dt: 190ms | tok/sec: 1,382,400 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.552598 | lrm: 1.00 | dt: 192ms | tok/sec: 1,368,014 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.428451 | lrm: 1.00 | dt: 206ms | tok/sec: 1,272,201 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.318492 | lrm: 1.00 | dt: 195ms | tok/sec: 1,343,625 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.220050 | lrm: 1.00 | dt: 193ms | tok/sec: 1,358,409 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.136949 | lrm: 1.00 | dt: 193ms | tok/sec: 1,359,980 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.063016 | lrm: 1.00 | dt: 193ms | tok/sec: 1,360,150 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 5.994873 | lrm: 1.00 | dt: 202ms | tok/sec: 1,297,766 | mfu: 38.8% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.934533 | lrm: 1.00 | dt: 198ms | tok/sec: 1,324,500 | mfu: 39.6% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.876825 | lrm: 1.00 | dt: 196ms | tok/sec: 1,335,086 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00018 (0.5%) | loss: 5.826216 | lrm: 1.00 | dt: 193ms | tok/sec: 1,359,630 | mfu: 40.6% | epoch: 1 | remaining: 298s    
step 00019 (0.5%) | loss: 5.778426 | lrm: 1.00 | dt: 193ms | tok/sec: 1,360,837 | mfu: 40.7% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.733509 | lrm: 1.00 | dt: 204ms | tok/sec: 1,286,907 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.693194 | lrm: 1.00 | dt: 195ms | tok/sec: 1,342,472 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.657748 | lrm: 1.00 | dt: 197ms | tok/sec: 1,330,882 | mfu: 39.8% | epoch: 1 | remaining: 298s    
step 00023 (0.8%) | loss: 5.622787 | lrm: 1.00 | dt: 194ms | tok/sec: 1,350,344 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00024 (0.8%) | loss: 5.590267 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,365 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00025 (0.9%) | loss: 5.557580 | lrm: 1.00 | dt: 200ms | tok/sec: 1,311,235 | mfu: 39.2% | epoch: 1 | remaining: 297s    
step 00026 (1.0%) | loss: 5.526180 | lrm: 1.00 | dt: 197ms | tok/sec: 1,328,947 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00027 (1.0%) | loss: 5.495550 | lrm: 1.00 | dt: 195ms | tok/sec: 1,342,595 | mfu: 40.1% | epoch: 1 | remaining: 297s    
step 00028 (1.1%) | loss: 5.468610 | lrm: 1.00 | dt: 193ms | tok/sec: 1,359,845 | mfu: 40.6% | epoch: 1 | remaining: 296s    
step 00029 (1.2%) | loss: 5.441616 | lrm: 1.00 | dt: 195ms | tok/sec: 1,345,116 | mfu: 40.2% | epoch: 1 | remaining: 296s    
step 00030 (1.2%) | loss: 5.411830 | lrm: 1.00 | dt: 201ms | tok/sec: 1,301,844 | mfu: 38.9% | epoch: 1 | remaining: 296s    
step 00031 (1.3%) | loss: 5.385601 | lrm: 1.00 | dt: 195ms | tok/sec: 1,342,608 | mfu: 40.1% | epoch: 1 | remaining: 296s    
step 00032 (1.4%) | loss: 5.360632 | lrm: 1.00 | dt: 199ms | tok/sec: 1,319,360 | mfu: 39.4% | epoch: 1 | remaining: 296s    
step 00033 (1.4%) | loss: 5.335870 | lrm: 1.00 | dt: 196ms | tok/sec: 1,334,154 | mfu: 39.9% | epoch: 1 | remaining: 295s    
step 00034 (1.5%) | loss: 5.309812 | lrm: 1.00 | dt: 197ms | tok/sec: 1,333,546 | mfu: 39.9% | epoch: 1 | remaining: 295s    
step 00035 (1.6%) | loss: 5.282960 | lrm: 1.00 | dt: 196ms | tok/sec: 1,339,252 | mfu: 40.0% | epoch: 1 | remaining: 295s    
step 00036 (1.6%) | loss: 5.256759 | lrm: 1.00 | dt: 197ms | tok/sec: 1,328,528 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00037 (1.7%) | loss: 5.231736 | lrm: 1.00 | dt: 195ms | tok/sec: 1,344,078 | mfu: 40.2% | epoch: 1 | remaining: 295s    
