Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 17927ms | tok/sec: 29,245 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 307ms | tok/sec: 1,710,228 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442313 | lrm: 1.00 | dt: 308ms | tok/sec: 1,699,856 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971712 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,495 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578760 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,150 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248846 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,768 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998088 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,837 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787088 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,546 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607004 | lrm: 1.00 | dt: 313ms | tok/sec: 1,675,168 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455165 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,556 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325399 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,654 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217098 | lrm: 1.00 | dt: 313ms | tok/sec: 1,673,184 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120733 | lrm: 1.00 | dt: 317ms | tok/sec: 1,654,031 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034872 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,308 | mfu: 39.1% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.962737 | lrm: 1.00 | dt: 313ms | tok/sec: 1,672,726 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.898202 | lrm: 1.00 | dt: 314ms | tok/sec: 1,667,719 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.842098 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,691 | mfu: 39.4% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.787552 | lrm: 1.00 | dt: 316ms | tok/sec: 1,660,695 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.738487 | lrm: 1.00 | dt: 316ms | tok/sec: 1,657,398 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00019 (0.8%) | loss: 5.692905 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,801 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.650575 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,700 | mfu: 39.2% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.610016 | lrm: 1.00 | dt: 314ms | tok/sec: 1,671,519 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00022 (1.2%) | loss: 5.574080 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,072 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.536659 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,559 | mfu: 39.5% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.500830 | lrm: 1.00 | dt: 318ms | tok/sec: 1,649,709 | mfu: 39.9% | epoch: 1 | remaining: 296s    
step 00025 (1.5%) | loss: 5.468107 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,049 | mfu: 39.4% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.436954 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,515 | mfu: 39.4% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.406438 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,465 | mfu: 39.8% | epoch: 1 | remaining: 295s    
step 00028 (1.8%) | loss: 5.378477 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,177 | mfu: 39.7% | epoch: 1 | remaining: 294s    
step 00029 (1.9%) | loss: 5.349638 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,583 | mfu: 39.3% | epoch: 1 | remaining: 294s    
step 00030 (2.0%) | loss: 5.318733 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,384 | mfu: 39.3% | epoch: 1 | remaining: 294s    
step 00031 (2.1%) | loss: 5.288486 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,983 | mfu: 40.3% | epoch: 1 | remaining: 293s    
step 00032 (2.2%) | loss: 5.260282 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,566 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00033 (2.3%) | loss: 5.233831 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,305 | mfu: 39.8% | epoch: 1 | remaining: 293s    
step 00034 (2.4%) | loss: 5.202726 | lrm: 1.00 | dt: 316ms | tok/sec: 1,658,852 | mfu: 40.1% | epoch: 1 | remaining: 292s    
step 00035 (2.5%) | loss: 5.176663 | lrm: 1.00 | dt: 317ms | tok/sec: 1,652,900 | mfu: 39.9% | epoch: 1 | remaining: 292s    
step 00036 (2.7%) | loss: 5.149920 | lrm: 1.00 | dt: 333ms | tok/sec: 1,574,286 | mfu: 38.0% | epoch: 1 | remaining: 292s    
step 00037 (2.8%) | loss: 5.123092 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,675 | mfu: 38.5% | epoch: 1 | remaining: 291s    
step 00038 (2.9%) | loss: 5.095995 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,850 | mfu: 39.6% | epoch: 1 | remaining: 291s    
step 00039 (3.0%) | loss: 5.069243 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,982 | mfu: 39.5% | epoch: 1 | remaining: 291s    
step 00040 (3.1%) | loss: 5.039916 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,302 | mfu: 39.4% | epoch: 1 | remaining: 290s    
step 00041 (3.2%) | loss: 5.012926 | lrm: 1.00 | dt: 316ms | tok/sec: 1,659,929 | mfu: 40.1% | epoch: 1 | remaining: 290s    
step 00042 (3.3%) | loss: 4.986992 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,803 | mfu: 39.6% | epoch: 1 | remaining: 290s    
step 00043 (3.4%) | loss: 4.959038 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,253 | mfu: 39.5% | epoch: 1 | remaining: 289s    
step 00044 (3.5%) | loss: 4.931061 | lrm: 1.00 | dt: 315ms | tok/sec: 1,664,366 | mfu: 40.2% | epoch: 1 | remaining: 289s    
step 00045 (3.6%) | loss: 4.903721 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,470 | mfu: 39.5% | epoch: 1 | remaining: 289s    
step 00046 (3.7%) | loss: 4.875660 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,545 | mfu: 39.8% | epoch: 1 | remaining: 289s    
step 00047 (3.8%) | loss: 4.840181 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,077 | mfu: 39.7% | epoch: 1 | remaining: 288s    
step 00048 (3.9%) | loss: 4.818698 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,782 | mfu: 39.2% | epoch: 1 | remaining: 288s    
step 00049 (4.0%) | loss: 4.790426 | lrm: 1.00 | dt: 317ms | tok/sec: 1,654,184 | mfu: 40.0% | epoch: 1 | remaining: 288s    
step 00050 (4.2%) | loss: 4.763402 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,515 | mfu: 39.3% | epoch: 1 | remaining: 287s    
