Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 14608ms | tok/sec: 17,945 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867334 | lrm: 1.00 | dt: 153ms | tok/sec: 1,712,445 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486185 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,979 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034197 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,706 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655203 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,476 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322764 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,118 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069876 | lrm: 1.00 | dt: 169ms | tok/sec: 1,548,496 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.865025 | lrm: 1.00 | dt: 198ms | tok/sec: 1,326,232 | mfu: 32.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690667 | lrm: 1.00 | dt: 191ms | tok/sec: 1,374,454 | mfu: 33.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542493 | lrm: 1.00 | dt: 165ms | tok/sec: 1,588,113 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.419353 | lrm: 1.00 | dt: 181ms | tok/sec: 1,448,641 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.310445 | lrm: 1.00 | dt: 154ms | tok/sec: 1,699,292 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.212921 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,511 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.130885 | lrm: 1.00 | dt: 168ms | tok/sec: 1,560,312 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.058142 | lrm: 1.00 | dt: 162ms | tok/sec: 1,617,437 | mfu: 39.1% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.991146 | lrm: 1.00 | dt: 179ms | tok/sec: 1,467,814 | mfu: 35.5% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.931977 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,371 | mfu: 40.3% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.874978 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,462 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.824912 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,914 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.777757 | lrm: 1.00 | dt: 178ms | tok/sec: 1,476,219 | mfu: 35.7% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.733390 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,446 | mfu: 39.2% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.693302 | lrm: 1.00 | dt: 178ms | tok/sec: 1,469,399 | mfu: 35.5% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.658303 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,234 | mfu: 40.8% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.624340 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,474 | mfu: 39.7% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.592683 | lrm: 1.00 | dt: 157ms | tok/sec: 1,666,709 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.560559 | lrm: 1.00 | dt: 164ms | tok/sec: 1,594,142 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.529539 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,211 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.499379 | lrm: 1.00 | dt: 165ms | tok/sec: 1,592,980 | mfu: 38.5% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.472907 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,866 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.446251 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,569 | mfu: 39.8% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.416390 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,423 | mfu: 39.3% | epoch: 1 | remaining: 297s    
