Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 37,748,736
  lm_head                 : 6,291,456
  transformer_matrices    : 84,935,808
  scalars                 : 24
  total                   : 135,267,480
Estimated FLOPs per token: 6.889213e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011376 | lrm: 1.00 | dt: 44703ms | tok/sec: 11,728 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.811833 | lrm: 1.00 | dt: 779ms | tok/sec: 673,415 | mfu: 46.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.347073 | lrm: 1.00 | dt: 820ms | tok/sec: 639,604 | mfu: 44.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.852373 | lrm: 1.00 | dt: 812ms | tok/sec: 645,951 | mfu: 45.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.445948 | lrm: 1.00 | dt: 808ms | tok/sec: 649,056 | mfu: 45.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.126025 | lrm: 1.00 | dt: 800ms | tok/sec: 654,971 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.889603 | lrm: 1.00 | dt: 803ms | tok/sec: 653,082 | mfu: 45.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.683389 | lrm: 1.00 | dt: 806ms | tok/sec: 650,239 | mfu: 45.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.509134 | lrm: 1.00 | dt: 807ms | tok/sec: 649,786 | mfu: 45.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.363757 | lrm: 1.00 | dt: 805ms | tok/sec: 651,154 | mfu: 45.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.236280 | lrm: 1.00 | dt: 815ms | tok/sec: 643,177 | mfu: 44.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.131784 | lrm: 1.00 | dt: 803ms | tok/sec: 653,222 | mfu: 45.5% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.039483 | lrm: 1.00 | dt: 806ms | tok/sec: 650,580 | mfu: 45.3% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 5.959634 | lrm: 1.00 | dt: 806ms | tok/sec: 650,335 | mfu: 45.3% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 5.888365 | lrm: 1.00 | dt: 813ms | tok/sec: 645,224 | mfu: 44.9% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 5.829485 | lrm: 1.00 | dt: 805ms | tok/sec: 651,538 | mfu: 45.4% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 5.779175 | lrm: 1.00 | dt: 812ms | tok/sec: 645,930 | mfu: 45.0% | epoch: 1 | remaining: 295s    
step 00017 (1.6%) | loss: 5.726792 | lrm: 1.00 | dt: 805ms | tok/sec: 651,516 | mfu: 45.4% | epoch: 1 | remaining: 294s    
step 00018 (1.9%) | loss: 5.680806 | lrm: 1.00 | dt: 807ms | tok/sec: 649,817 | mfu: 45.2% | epoch: 1 | remaining: 294s    
step 00019 (2.2%) | loss: 5.639420 | lrm: 1.00 | dt: 812ms | tok/sec: 645,853 | mfu: 45.0% | epoch: 1 | remaining: 293s    
step 00020 (2.4%) | loss: 5.600037 | lrm: 1.00 | dt: 810ms | tok/sec: 647,162 | mfu: 45.1% | epoch: 1 | remaining: 292s    
step 00021 (2.7%) | loss: 5.561335 | lrm: 1.00 | dt: 805ms | tok/sec: 651,144 | mfu: 45.3% | epoch: 1 | remaining: 291s    
step 00022 (3.0%) | loss: 5.528566 | lrm: 1.00 | dt: 816ms | tok/sec: 642,783 | mfu: 44.8% | epoch: 1 | remaining: 290s    
step 00023 (3.2%) | loss: 5.491854 | lrm: 1.00 | dt: 807ms | tok/sec: 649,665 | mfu: 45.2% | epoch: 1 | remaining: 289s    
step 00024 (3.5%) | loss: 5.458403 | lrm: 1.00 | dt: 812ms | tok/sec: 645,286 | mfu: 44.9% | epoch: 1 | remaining: 289s    
step 00025 (3.8%) | loss: 5.424507 | lrm: 1.00 | dt: 807ms | tok/sec: 649,457 | mfu: 45.2% | epoch: 1 | remaining: 288s    
step 00026 (4.0%) | loss: 5.394170 | lrm: 1.00 | dt: 810ms | tok/sec: 646,898 | mfu: 45.0% | epoch: 1 | remaining: 287s    
step 00027 (4.3%) | loss: 5.364627 | lrm: 1.00 | dt: 808ms | tok/sec: 649,163 | mfu: 45.2% | epoch: 1 | remaining: 286s    
step 00028 (4.6%) | loss: 5.336175 | lrm: 1.00 | dt: 813ms | tok/sec: 644,870 | mfu: 44.9% | epoch: 1 | remaining: 285s    
step 00029 (4.9%) | loss: 5.307599 | lrm: 1.00 | dt: 809ms | tok/sec: 648,125 | mfu: 45.1% | epoch: 1 | remaining: 285s    
step 00030 (5.1%) | loss: 5.274804 | lrm: 1.00 | dt: 816ms | tok/sec: 642,696 | mfu: 44.7% | epoch: 1 | remaining: 284s    
