Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 20352ms | tok/sec: 12,880 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867220 | lrm: 1.00 | dt: 153ms | tok/sec: 1,713,921 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486944 | lrm: 1.00 | dt: 154ms | tok/sec: 1,704,167 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.035365 | lrm: 1.00 | dt: 156ms | tok/sec: 1,675,183 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.656661 | lrm: 1.00 | dt: 155ms | tok/sec: 1,689,778 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.323980 | lrm: 1.00 | dt: 155ms | tok/sec: 1,696,400 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.071025 | lrm: 1.00 | dt: 180ms | tok/sec: 1,459,872 | mfu: 35.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.866220 | lrm: 1.00 | dt: 165ms | tok/sec: 1,587,710 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.691802 | lrm: 1.00 | dt: 198ms | tok/sec: 1,322,358 | mfu: 32.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.543484 | lrm: 1.00 | dt: 187ms | tok/sec: 1,404,778 | mfu: 33.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.420195 | lrm: 1.00 | dt: 191ms | tok/sec: 1,373,925 | mfu: 33.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.311131 | lrm: 1.00 | dt: 159ms | tok/sec: 1,652,956 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.213442 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,697 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.131301 | lrm: 1.00 | dt: 170ms | tok/sec: 1,542,319 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.058450 | lrm: 1.00 | dt: 184ms | tok/sec: 1,424,503 | mfu: 34.4% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.991330 | lrm: 1.00 | dt: 232ms | tok/sec: 1,132,271 | mfu: 27.4% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.931928 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,878 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.874535 | lrm: 1.00 | dt: 182ms | tok/sec: 1,439,335 | mfu: 34.8% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.824029 | lrm: 1.00 | dt: 164ms | tok/sec: 1,594,393 | mfu: 38.5% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.776437 | lrm: 1.00 | dt: 203ms | tok/sec: 1,288,910 | mfu: 31.1% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.731624 | lrm: 1.00 | dt: 163ms | tok/sec: 1,609,689 | mfu: 38.9% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.691071 | lrm: 1.00 | dt: 183ms | tok/sec: 1,434,901 | mfu: 34.7% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.655663 | lrm: 1.00 | dt: 164ms | tok/sec: 1,595,469 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.621285 | lrm: 1.00 | dt: 187ms | tok/sec: 1,403,582 | mfu: 33.9% | epoch: 1 | remaining: 298s    
step 00024 (0.8%) | loss: 5.589069 | lrm: 1.00 | dt: 179ms | tok/sec: 1,462,349 | mfu: 35.3% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.556353 | lrm: 1.00 | dt: 202ms | tok/sec: 1,297,441 | mfu: 31.3% | epoch: 1 | remaining: 297s    
step 00026 (0.9%) | loss: 5.524654 | lrm: 1.00 | dt: 252ms | tok/sec: 1,040,858 | mfu: 25.1% | epoch: 1 | remaining: 297s    
step 00027 (1.0%) | loss: 5.493711 | lrm: 1.00 | dt: 191ms | tok/sec: 1,375,710 | mfu: 33.2% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.466452 | lrm: 1.00 | dt: 178ms | tok/sec: 1,469,644 | mfu: 35.5% | epoch: 1 | remaining: 297s    
step 00029 (1.1%) | loss: 5.439051 | lrm: 1.00 | dt: 197ms | tok/sec: 1,328,742 | mfu: 32.1% | epoch: 1 | remaining: 296s    
step 00030 (1.2%) | loss: 5.408466 | lrm: 1.00 | dt: 165ms | tok/sec: 1,585,343 | mfu: 38.3% | epoch: 1 | remaining: 296s    
step 00031 (1.2%) | loss: 5.381435 | lrm: 1.00 | dt: 164ms | tok/sec: 1,599,955 | mfu: 38.7% | epoch: 1 | remaining: 296s    
step 00032 (1.3%) | loss: 5.355802 | lrm: 1.00 | dt: 156ms | tok/sec: 1,684,195 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00033 (1.3%) | loss: 5.330701 | lrm: 1.00 | dt: 171ms | tok/sec: 1,534,595 | mfu: 37.1% | epoch: 1 | remaining: 296s    
step 00034 (1.4%) | loss: 5.304223 | lrm: 1.00 | dt: 195ms | tok/sec: 1,341,712 | mfu: 32.4% | epoch: 1 | remaining: 296s    
step 00035 (1.5%) | loss: 5.276622 | lrm: 1.00 | dt: 164ms | tok/sec: 1,599,210 | mfu: 38.6% | epoch: 1 | remaining: 295s    
step 00036 (1.5%) | loss: 5.249757 | lrm: 1.00 | dt: 182ms | tok/sec: 1,443,995 | mfu: 34.9% | epoch: 1 | remaining: 295s    
step 00037 (1.6%) | loss: 5.224075 | lrm: 1.00 | dt: 169ms | tok/sec: 1,547,918 | mfu: 37.4% | epoch: 1 | remaining: 295s    
step 00038 (1.6%) | loss: 5.196906 | lrm: 1.00 | dt: 185ms | tok/sec: 1,420,023 | mfu: 34.3% | epoch: 1 | remaining: 295s    
step 00039 (1.7%) | loss: 5.170448 | lrm: 1.00 | dt: 155ms | tok/sec: 1,688,335 | mfu: 40.8% | epoch: 1 | remaining: 295s    
step 00040 (1.7%) | loss: 5.147716 | lrm: 1.00 | dt: 194ms | tok/sec: 1,353,010 | mfu: 32.7% | epoch: 1 | remaining: 295s    
step 00041 (1.8%) | loss: 5.121434 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,571 | mfu: 40.6% | epoch: 1 | remaining: 294s    
step 00042 (1.9%) | loss: 5.098255 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,947 | mfu: 40.3% | epoch: 1 | remaining: 294s    
step 00043 (1.9%) | loss: 5.071229 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,376 | mfu: 40.2% | epoch: 1 | remaining: 294s    
