Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 20,971,520
  lm_head                 : 4,194,304
  transformer_matrices    : 31,457,920
  scalars                 : 20
  total                   : 60,818,068
Estimated FLOPs per token: 2.957023e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 19797ms | tok/sec: 13,241 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854069 | lrm: 1.00 | dt: 187ms | tok/sec: 1,402,849 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.533582 | lrm: 1.00 | dt: 189ms | tok/sec: 1,383,884 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.110713 | lrm: 1.00 | dt: 189ms | tok/sec: 1,384,071 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.745041 | lrm: 1.00 | dt: 190ms | tok/sec: 1,383,336 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.405395 | lrm: 1.00 | dt: 203ms | tok/sec: 1,290,759 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.139299 | lrm: 1.00 | dt: 197ms | tok/sec: 1,328,005 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.925758 | lrm: 1.00 | dt: 192ms | tok/sec: 1,362,748 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.745910 | lrm: 1.00 | dt: 192ms | tok/sec: 1,362,272 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.591452 | lrm: 1.00 | dt: 191ms | tok/sec: 1,371,810 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.462287 | lrm: 1.00 | dt: 205ms | tok/sec: 1,278,677 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.347874 | lrm: 1.00 | dt: 195ms | tok/sec: 1,345,108 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.245601 | lrm: 1.00 | dt: 195ms | tok/sec: 1,347,396 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.158996 | lrm: 1.00 | dt: 194ms | tok/sec: 1,349,271 | mfu: 40.3% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.082222 | lrm: 1.00 | dt: 191ms | tok/sec: 1,375,464 | mfu: 41.1% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.011738 | lrm: 1.00 | dt: 205ms | tok/sec: 1,280,743 | mfu: 38.3% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.949329 | lrm: 1.00 | dt: 198ms | tok/sec: 1,322,848 | mfu: 39.5% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.890282 | lrm: 1.00 | dt: 194ms | tok/sec: 1,352,670 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00018 (0.5%) | loss: 5.838906 | lrm: 1.00 | dt: 194ms | tok/sec: 1,348,116 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00019 (0.5%) | loss: 5.790588 | lrm: 1.00 | dt: 193ms | tok/sec: 1,360,332 | mfu: 40.7% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.745162 | lrm: 1.00 | dt: 204ms | tok/sec: 1,285,148 | mfu: 38.4% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.704488 | lrm: 1.00 | dt: 198ms | tok/sec: 1,320,680 | mfu: 39.5% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.669344 | lrm: 1.00 | dt: 196ms | tok/sec: 1,340,171 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00023 (0.8%) | loss: 5.635147 | lrm: 1.00 | dt: 194ms | tok/sec: 1,353,021 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00024 (0.8%) | loss: 5.603678 | lrm: 1.00 | dt: 195ms | tok/sec: 1,346,872 | mfu: 40.2% | epoch: 1 | remaining: 297s    
step 00025 (0.9%) | loss: 5.572279 | lrm: 1.00 | dt: 202ms | tok/sec: 1,297,297 | mfu: 38.8% | epoch: 1 | remaining: 297s    
step 00026 (1.0%) | loss: 5.542430 | lrm: 1.00 | dt: 197ms | tok/sec: 1,328,018 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00027 (1.0%) | loss: 5.513449 | lrm: 1.00 | dt: 194ms | tok/sec: 1,349,392 | mfu: 40.3% | epoch: 1 | remaining: 297s    
step 00028 (1.1%) | loss: 5.488582 | lrm: 1.00 | dt: 194ms | tok/sec: 1,352,958 | mfu: 40.4% | epoch: 1 | remaining: 296s    
step 00029 (1.2%) | loss: 5.463463 | lrm: 1.00 | dt: 195ms | tok/sec: 1,347,009 | mfu: 40.3% | epoch: 1 | remaining: 296s    
step 00030 (1.2%) | loss: 5.435563 | lrm: 1.00 | dt: 203ms | tok/sec: 1,293,663 | mfu: 38.7% | epoch: 1 | remaining: 296s    
