Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 20,971,520
  lm_head                 : 4,194,304
  transformer_matrices    : 31,457,920
  scalars                 : 20
  total                   : 60,818,068
Estimated FLOPs per token: 2.957023e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 30315ms | tok/sec: 8,647 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.868180 | lrm: 1.00 | dt: 188ms | tok/sec: 1,391,427 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.493039 | lrm: 1.00 | dt: 191ms | tok/sec: 1,375,629 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.055837 | lrm: 1.00 | dt: 190ms | tok/sec: 1,382,261 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.694356 | lrm: 1.00 | dt: 191ms | tok/sec: 1,375,290 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.373036 | lrm: 1.00 | dt: 209ms | tok/sec: 1,254,931 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.122324 | lrm: 1.00 | dt: 198ms | tok/sec: 1,320,801 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.917083 | lrm: 1.00 | dt: 193ms | tok/sec: 1,361,769 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.745598 | lrm: 1.00 | dt: 192ms | tok/sec: 1,365,983 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.598981 | lrm: 1.00 | dt: 192ms | tok/sec: 1,364,944 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.476039 | lrm: 1.00 | dt: 208ms | tok/sec: 1,261,307 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.366344 | lrm: 1.00 | dt: 197ms | tok/sec: 1,327,447 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.267674 | lrm: 1.00 | dt: 196ms | tok/sec: 1,340,235 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.183872 | lrm: 1.00 | dt: 193ms | tok/sec: 1,358,258 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.109199 | lrm: 1.00 | dt: 195ms | tok/sec: 1,344,757 | mfu: 40.2% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.040247 | lrm: 1.00 | dt: 201ms | tok/sec: 1,302,640 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.978486 | lrm: 1.00 | dt: 197ms | tok/sec: 1,328,626 | mfu: 39.7% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.919565 | lrm: 1.00 | dt: 198ms | tok/sec: 1,325,627 | mfu: 39.6% | epoch: 1 | remaining: 299s    
step 00018 (0.5%) | loss: 5.867627 | lrm: 1.00 | dt: 194ms | tok/sec: 1,349,554 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00019 (0.5%) | loss: 5.818551 | lrm: 1.00 | dt: 195ms | tok/sec: 1,343,837 | mfu: 40.2% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.772569 | lrm: 1.00 | dt: 205ms | tok/sec: 1,280,282 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.730768 | lrm: 1.00 | dt: 195ms | tok/sec: 1,343,270 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.693710 | lrm: 1.00 | dt: 197ms | tok/sec: 1,333,234 | mfu: 39.8% | epoch: 1 | remaining: 298s    
step 00023 (0.8%) | loss: 5.657371 | lrm: 1.00 | dt: 193ms | tok/sec: 1,355,597 | mfu: 40.5% | epoch: 1 | remaining: 297s    
step 00024 (0.9%) | loss: 5.623306 | lrm: 1.00 | dt: 197ms | tok/sec: 1,327,587 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00025 (0.9%) | loss: 5.589158 | lrm: 1.00 | dt: 201ms | tok/sec: 1,304,613 | mfu: 39.0% | epoch: 1 | remaining: 297s    
step 00026 (1.0%) | loss: 5.556054 | lrm: 1.00 | dt: 197ms | tok/sec: 1,331,145 | mfu: 39.8% | epoch: 1 | remaining: 297s    
step 00027 (1.1%) | loss: 5.523741 | lrm: 1.00 | dt: 195ms | tok/sec: 1,344,271 | mfu: 40.2% | epoch: 1 | remaining: 297s    
step 00028 (1.1%) | loss: 5.495064 | lrm: 1.00 | dt: 196ms | tok/sec: 1,338,636 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00029 (1.2%) | loss: 5.466705 | lrm: 1.00 | dt: 199ms | tok/sec: 1,318,008 | mfu: 39.4% | epoch: 1 | remaining: 296s    
step 00030 (1.2%) | loss: 5.435902 | lrm: 1.00 | dt: 201ms | tok/sec: 1,302,067 | mfu: 38.9% | epoch: 1 | remaining: 296s    
