Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 20,971,520
  lm_head                 : 4,194,304
  transformer_matrices    : 28,312,192
  scalars                 : 18
  total                   : 57,672,338
Estimated FLOPs per token: 2.705364e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011261 | lrm: 1.00 | dt: 39191ms | tok/sec: 6,688 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867269 | lrm: 1.00 | dt: 172ms | tok/sec: 1,522,310 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.485565 | lrm: 1.00 | dt: 174ms | tok/sec: 1,503,803 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.033377 | lrm: 1.00 | dt: 174ms | tok/sec: 1,508,231 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655020 | lrm: 1.00 | dt: 174ms | tok/sec: 1,506,380 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322768 | lrm: 1.00 | dt: 179ms | tok/sec: 1,468,182 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.070029 | lrm: 1.00 | dt: 190ms | tok/sec: 1,376,967 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.865133 | lrm: 1.00 | dt: 238ms | tok/sec: 1,103,733 | mfu: 30.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690763 | lrm: 1.00 | dt: 277ms | tok/sec: 947,806 | mfu: 25.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542530 | lrm: 1.00 | dt: 202ms | tok/sec: 1,296,921 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.419353 | lrm: 1.00 | dt: 184ms | tok/sec: 1,422,653 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.310431 | lrm: 1.00 | dt: 174ms | tok/sec: 1,506,578 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.212860 | lrm: 1.00 | dt: 181ms | tok/sec: 1,452,142 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.130714 | lrm: 1.00 | dt: 176ms | tok/sec: 1,488,711 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.057586 | lrm: 1.00 | dt: 181ms | tok/sec: 1,448,662 | mfu: 39.6% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.990097 | lrm: 1.00 | dt: 182ms | tok/sec: 1,440,835 | mfu: 39.4% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.930416 | lrm: 1.00 | dt: 179ms | tok/sec: 1,462,760 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.873029 | lrm: 1.00 | dt: 223ms | tok/sec: 1,177,106 | mfu: 32.2% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.822556 | lrm: 1.00 | dt: 173ms | tok/sec: 1,517,203 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.774959 | lrm: 1.00 | dt: 182ms | tok/sec: 1,438,210 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.729972 | lrm: 1.00 | dt: 181ms | tok/sec: 1,450,082 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.689028 | lrm: 1.00 | dt: 178ms | tok/sec: 1,468,892 | mfu: 40.2% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.653213 | lrm: 1.00 | dt: 180ms | tok/sec: 1,454,297 | mfu: 39.8% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.618311 | lrm: 1.00 | dt: 184ms | tok/sec: 1,423,459 | mfu: 38.9% | epoch: 1 | remaining: 298s    
step 00024 (0.8%) | loss: 5.585301 | lrm: 1.00 | dt: 177ms | tok/sec: 1,484,374 | mfu: 40.6% | epoch: 1 | remaining: 297s    
step 00025 (0.9%) | loss: 5.551579 | lrm: 1.00 | dt: 177ms | tok/sec: 1,484,023 | mfu: 40.6% | epoch: 1 | remaining: 297s    
step 00026 (0.9%) | loss: 5.518960 | lrm: 1.00 | dt: 178ms | tok/sec: 1,468,833 | mfu: 40.2% | epoch: 1 | remaining: 297s    
step 00027 (1.0%) | loss: 5.487423 | lrm: 1.00 | dt: 186ms | tok/sec: 1,407,984 | mfu: 38.5% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.459562 | lrm: 1.00 | dt: 186ms | tok/sec: 1,410,190 | mfu: 38.6% | epoch: 1 | remaining: 297s    
step 00029 (1.1%) | loss: 5.431518 | lrm: 1.00 | dt: 179ms | tok/sec: 1,465,648 | mfu: 40.1% | epoch: 1 | remaining: 297s    
step 00030 (1.2%) | loss: 5.400301 | lrm: 1.00 | dt: 183ms | tok/sec: 1,435,588 | mfu: 39.3% | epoch: 1 | remaining: 296s    
