Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 20,971,520
  lm_head                 : 4,194,304
  transformer_matrices    : 31,457,920
  scalars                 : 20
  total                   : 60,818,068
Estimated FLOPs per token: 2.957023e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 15008ms | tok/sec: 17,466 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867386 | lrm: 1.00 | dt: 188ms | tok/sec: 1,392,606 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.485573 | lrm: 1.00 | dt: 191ms | tok/sec: 1,370,851 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.033177 | lrm: 1.00 | dt: 190ms | tok/sec: 1,377,354 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654988 | lrm: 1.00 | dt: 191ms | tok/sec: 1,371,329 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322623 | lrm: 1.00 | dt: 204ms | tok/sec: 1,287,451 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069864 | lrm: 1.00 | dt: 199ms | tok/sec: 1,314,516 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864850 | lrm: 1.00 | dt: 191ms | tok/sec: 1,372,397 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690594 | lrm: 1.00 | dt: 191ms | tok/sec: 1,373,551 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542468 | lrm: 1.00 | dt: 205ms | tok/sec: 1,275,756 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.419394 | lrm: 1.00 | dt: 203ms | tok/sec: 1,291,071 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.310567 | lrm: 1.00 | dt: 196ms | tok/sec: 1,334,417 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.213103 | lrm: 1.00 | dt: 193ms | tok/sec: 1,357,634 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.131117 | lrm: 1.00 | dt: 194ms | tok/sec: 1,349,557 | mfu: 40.3% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.058368 | lrm: 1.00 | dt: 195ms | tok/sec: 1,345,974 | mfu: 40.2% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 5.991393 | lrm: 1.00 | dt: 199ms | tok/sec: 1,315,993 | mfu: 39.3% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.932301 | lrm: 1.00 | dt: 199ms | tok/sec: 1,320,542 | mfu: 39.5% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.875367 | lrm: 1.00 | dt: 193ms | tok/sec: 1,357,297 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00018 (0.5%) | loss: 5.825329 | lrm: 1.00 | dt: 192ms | tok/sec: 1,365,022 | mfu: 40.8% | epoch: 1 | remaining: 298s    
step 00019 (0.5%) | loss: 5.778225 | lrm: 1.00 | dt: 194ms | tok/sec: 1,349,996 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.733988 | lrm: 1.00 | dt: 203ms | tok/sec: 1,290,698 | mfu: 38.6% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.694108 | lrm: 1.00 | dt: 196ms | tok/sec: 1,339,153 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.659390 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,797 | mfu: 40.4% | epoch: 1 | remaining: 298s    
step 00023 (0.8%) | loss: 5.625410 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,847 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00024 (0.8%) | loss: 5.593655 | lrm: 1.00 | dt: 194ms | tok/sec: 1,354,116 | mfu: 40.5% | epoch: 1 | remaining: 297s    
step 00025 (0.9%) | loss: 5.561585 | lrm: 1.00 | dt: 196ms | tok/sec: 1,337,006 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00026 (1.0%) | loss: 5.530654 | lrm: 1.00 | dt: 195ms | tok/sec: 1,341,374 | mfu: 40.1% | epoch: 1 | remaining: 297s    
step 00027 (1.0%) | loss: 5.500486 | lrm: 1.00 | dt: 195ms | tok/sec: 1,342,778 | mfu: 40.1% | epoch: 1 | remaining: 297s    
step 00028 (1.1%) | loss: 5.474031 | lrm: 1.00 | dt: 193ms | tok/sec: 1,357,250 | mfu: 40.6% | epoch: 1 | remaining: 296s    
step 00029 (1.2%) | loss: 5.447461 | lrm: 1.00 | dt: 194ms | tok/sec: 1,348,455 | mfu: 40.3% | epoch: 1 | remaining: 296s    
step 00030 (1.2%) | loss: 5.417993 | lrm: 1.00 | dt: 199ms | tok/sec: 1,315,125 | mfu: 39.3% | epoch: 1 | remaining: 296s    
step 00031 (1.3%) | loss: 5.392208 | lrm: 1.00 | dt: 194ms | tok/sec: 1,349,718 | mfu: 40.3% | epoch: 1 | remaining: 296s    
step 00032 (1.4%) | loss: 5.367430 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,073 | mfu: 40.4% | epoch: 1 | remaining: 296s    
step 00033 (1.4%) | loss: 5.342747 | lrm: 1.00 | dt: 195ms | tok/sec: 1,345,715 | mfu: 40.2% | epoch: 1 | remaining: 296s    
step 00034 (1.5%) | loss: 5.316951 | lrm: 1.00 | dt: 198ms | tok/sec: 1,321,320 | mfu: 39.5% | epoch: 1 | remaining: 295s    
step 00035 (1.6%) | loss: 5.290252 | lrm: 1.00 | dt: 199ms | tok/sec: 1,315,279 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00036 (1.6%) | loss: 5.264192 | lrm: 1.00 | dt: 195ms | tok/sec: 1,344,960 | mfu: 40.2% | epoch: 1 | remaining: 295s    
step 00037 (1.7%) | loss: 5.239331 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,413 | mfu: 40.4% | epoch: 1 | remaining: 295s    
step 00038 (1.8%) | loss: 5.212882 | lrm: 1.00 | dt: 196ms | tok/sec: 1,337,280 | mfu: 40.0% | epoch: 1 | remaining: 295s    
step 00039 (1.8%) | loss: 5.187182 | lrm: 1.00 | dt: 197ms | tok/sec: 1,328,755 | mfu: 39.7% | epoch: 1 | remaining: 294s    
step 00040 (1.9%) | loss: 5.165060 | lrm: 1.00 | dt: 205ms | tok/sec: 1,280,043 | mfu: 38.3% | epoch: 1 | remaining: 294s    
step 00041 (2.0%) | loss: 5.139131 | lrm: 1.00 | dt: 192ms | tok/sec: 1,361,831 | mfu: 40.7% | epoch: 1 | remaining: 294s    
step 00042 (2.0%) | loss: 5.116156 | lrm: 1.00 | dt: 196ms | tok/sec: 1,340,586 | mfu: 40.1% | epoch: 1 | remaining: 294s    
step 00043 (2.1%) | loss: 5.089423 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,103 | mfu: 40.4% | epoch: 1 | remaining: 294s    
step 00044 (2.2%) | loss: 5.065089 | lrm: 1.00 | dt: 193ms | tok/sec: 1,356,907 | mfu: 40.5% | epoch: 1 | remaining: 293s    
step 00045 (2.2%) | loss: 5.043220 | lrm: 1.00 | dt: 197ms | tok/sec: 1,333,847 | mfu: 39.9% | epoch: 1 | remaining: 293s    
step 00046 (2.3%) | loss: 5.018976 | lrm: 1.00 | dt: 198ms | tok/sec: 1,326,225 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00047 (2.3%) | loss: 4.992576 | lrm: 1.00 | dt: 196ms | tok/sec: 1,339,363 | mfu: 40.0% | epoch: 1 | remaining: 293s    
step 00048 (2.4%) | loss: 4.967139 | lrm: 1.00 | dt: 193ms | tok/sec: 1,356,406 | mfu: 40.5% | epoch: 1 | remaining: 293s    
step 00049 (2.5%) | loss: 4.938976 | lrm: 1.00 | dt: 229ms | tok/sec: 1,145,342 | mfu: 34.2% | epoch: 1 | remaining: 292s    
step 00050 (2.6%) | loss: 4.917224 | lrm: 1.00 | dt: 194ms | tok/sec: 1,349,791 | mfu: 40.3% | epoch: 1 | remaining: 292s    
step 00051 (2.6%) | loss: 4.891507 | lrm: 1.00 | dt: 192ms | tok/sec: 1,366,187 | mfu: 40.8% | epoch: 1 | remaining: 292s    
step 00052 (2.7%) | loss: 4.868083 | lrm: 1.00 | dt: 193ms | tok/sec: 1,357,996 | mfu: 40.6% | epoch: 1 | remaining: 292s    
step 00053 (2.7%) | loss: 4.844400 | lrm: 1.00 | dt: 195ms | tok/sec: 1,345,467 | mfu: 40.2% | epoch: 1 | remaining: 292s    
step 00054 (2.8%) | loss: 4.817111 | lrm: 1.00 | dt: 205ms | tok/sec: 1,279,384 | mfu: 38.2% | epoch: 1 | remaining: 291s    
step 00055 (2.9%) | loss: 4.794595 | lrm: 1.00 | dt: 197ms | tok/sec: 1,333,518 | mfu: 39.9% | epoch: 1 | remaining: 291s    
step 00056 (2.9%) | loss: 4.773019 | lrm: 1.00 | dt: 193ms | tok/sec: 1,360,744 | mfu: 40.7% | epoch: 1 | remaining: 291s    
step 00057 (3.0%) | loss: 4.751097 | lrm: 1.00 | dt: 196ms | tok/sec: 1,339,882 | mfu: 40.0% | epoch: 1 | remaining: 291s    
step 00058 (3.1%) | loss: 4.728498 | lrm: 1.00 | dt: 193ms | tok/sec: 1,357,079 | mfu: 40.6% | epoch: 1 | remaining: 291s    
