Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 25,165,824
  lm_head                 : 4,194,304
  transformer_matrices    : 37,749,504
  scalars                 : 24
  total                   : 71,303,960
Estimated FLOPs per token: 3.460347e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011263 | lrm: 1.00 | dt: 38144ms | tok/sec: 6,872 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867530 | lrm: 1.00 | dt: 223ms | tok/sec: 1,175,377 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.485560 | lrm: 1.00 | dt: 224ms | tok/sec: 1,170,483 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.033013 | lrm: 1.00 | dt: 223ms | tok/sec: 1,175,089 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655828 | lrm: 1.00 | dt: 233ms | tok/sec: 1,125,952 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.323423 | lrm: 1.00 | dt: 236ms | tok/sec: 1,109,507 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.070620 | lrm: 1.00 | dt: 228ms | tok/sec: 1,150,722 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.865746 | lrm: 1.00 | dt: 225ms | tok/sec: 1,164,194 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.691493 | lrm: 1.00 | dt: 230ms | tok/sec: 1,138,802 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.543343 | lrm: 1.00 | dt: 237ms | tok/sec: 1,105,208 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.420237 | lrm: 1.00 | dt: 234ms | tok/sec: 1,122,278 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.311378 | lrm: 1.00 | dt: 224ms | tok/sec: 1,169,423 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.213847 | lrm: 1.00 | dt: 226ms | tok/sec: 1,159,407 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 6.131799 | lrm: 1.00 | dt: 236ms | tok/sec: 1,110,537 | mfu: 38.8% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.059017 | lrm: 1.00 | dt: 233ms | tok/sec: 1,124,977 | mfu: 39.3% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 5.992003 | lrm: 1.00 | dt: 230ms | tok/sec: 1,141,721 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 5.932834 | lrm: 1.00 | dt: 227ms | tok/sec: 1,155,614 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00017 (0.5%) | loss: 5.875828 | lrm: 1.00 | dt: 230ms | tok/sec: 1,141,120 | mfu: 39.9% | epoch: 1 | remaining: 298s    
step 00018 (0.5%) | loss: 5.825761 | lrm: 1.00 | dt: 234ms | tok/sec: 1,120,460 | mfu: 39.2% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 5.778661 | lrm: 1.00 | dt: 231ms | tok/sec: 1,136,918 | mfu: 39.8% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 5.734401 | lrm: 1.00 | dt: 230ms | tok/sec: 1,138,346 | mfu: 39.8% | epoch: 1 | remaining: 298s    
step 00021 (0.8%) | loss: 5.694506 | lrm: 1.00 | dt: 227ms | tok/sec: 1,153,602 | mfu: 40.3% | epoch: 1 | remaining: 297s    
step 00022 (0.8%) | loss: 5.659680 | lrm: 1.00 | dt: 232ms | tok/sec: 1,131,615 | mfu: 39.6% | epoch: 1 | remaining: 297s    
step 00023 (0.9%) | loss: 5.625567 | lrm: 1.00 | dt: 233ms | tok/sec: 1,122,807 | mfu: 39.3% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 5.593598 | lrm: 1.00 | dt: 231ms | tok/sec: 1,135,679 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00025 (1.1%) | loss: 5.561282 | lrm: 1.00 | dt: 230ms | tok/sec: 1,139,135 | mfu: 39.8% | epoch: 1 | remaining: 297s    
step 00026 (1.2%) | loss: 5.530041 | lrm: 1.00 | dt: 232ms | tok/sec: 1,132,131 | mfu: 39.6% | epoch: 1 | remaining: 296s    
step 00027 (1.2%) | loss: 5.499641 | lrm: 1.00 | dt: 231ms | tok/sec: 1,135,513 | mfu: 39.7% | epoch: 1 | remaining: 296s    
step 00028 (1.3%) | loss: 5.472994 | lrm: 1.00 | dt: 230ms | tok/sec: 1,138,378 | mfu: 39.8% | epoch: 1 | remaining: 296s    
step 00029 (1.4%) | loss: 5.446167 | lrm: 1.00 | dt: 232ms | tok/sec: 1,131,172 | mfu: 39.6% | epoch: 1 | remaining: 296s    
step 00030 (1.5%) | loss: 5.416410 | lrm: 1.00 | dt: 235ms | tok/sec: 1,113,216 | mfu: 38.9% | epoch: 1 | remaining: 295s    
step 00031 (1.5%) | loss: 5.390433 | lrm: 1.00 | dt: 227ms | tok/sec: 1,154,575 | mfu: 40.4% | epoch: 1 | remaining: 295s    
step 00032 (1.6%) | loss: 5.365671 | lrm: 1.00 | dt: 233ms | tok/sec: 1,127,261 | mfu: 39.4% | epoch: 1 | remaining: 295s    
step 00033 (1.7%) | loss: 5.341212 | lrm: 1.00 | dt: 231ms | tok/sec: 1,135,654 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00034 (1.8%) | loss: 5.315426 | lrm: 1.00 | dt: 232ms | tok/sec: 1,129,512 | mfu: 39.5% | epoch: 1 | remaining: 294s    
step 00035 (1.8%) | loss: 5.288657 | lrm: 1.00 | dt: 232ms | tok/sec: 1,131,020 | mfu: 39.6% | epoch: 1 | remaining: 294s    
step 00036 (1.9%) | loss: 5.262586 | lrm: 1.00 | dt: 230ms | tok/sec: 1,141,859 | mfu: 39.9% | epoch: 1 | remaining: 294s    
step 00037 (2.0%) | loss: 5.237630 | lrm: 1.00 | dt: 230ms | tok/sec: 1,138,196 | mfu: 39.8% | epoch: 1 | remaining: 294s    
step 00038 (2.1%) | loss: 5.211176 | lrm: 1.00 | dt: 234ms | tok/sec: 1,119,520 | mfu: 39.2% | epoch: 1 | remaining: 294s    
step 00039 (2.2%) | loss: 5.185321 | lrm: 1.00 | dt: 234ms | tok/sec: 1,122,608 | mfu: 39.3% | epoch: 1 | remaining: 293s    
step 00040 (2.2%) | loss: 5.162958 | lrm: 1.00 | dt: 233ms | tok/sec: 1,124,520 | mfu: 39.3% | epoch: 1 | remaining: 293s    
step 00041 (2.3%) | loss: 5.137046 | lrm: 1.00 | dt: 227ms | tok/sec: 1,154,906 | mfu: 40.4% | epoch: 1 | remaining: 293s    
step 00042 (2.4%) | loss: 5.114144 | lrm: 1.00 | dt: 229ms | tok/sec: 1,145,099 | mfu: 40.0% | epoch: 1 | remaining: 293s    
step 00043 (2.5%) | loss: 5.087539 | lrm: 1.00 | dt: 231ms | tok/sec: 1,137,000 | mfu: 39.8% | epoch: 1 | remaining: 292s    
step 00044 (2.5%) | loss: 5.063154 | lrm: 1.00 | dt: 232ms | tok/sec: 1,128,279 | mfu: 39.5% | epoch: 1 | remaining: 292s    
step 00045 (2.6%) | loss: 5.041114 | lrm: 1.00 | dt: 232ms | tok/sec: 1,129,904 | mfu: 39.5% | epoch: 1 | remaining: 292s    
step 00046 (2.7%) | loss: 5.016433 | lrm: 1.00 | dt: 230ms | tok/sec: 1,139,746 | mfu: 39.9% | epoch: 1 | remaining: 292s    
step 00047 (2.8%) | loss: 4.990241 | lrm: 1.00 | dt: 230ms | tok/sec: 1,138,862 | mfu: 39.8% | epoch: 1 | remaining: 291s    
step 00048 (2.8%) | loss: 4.965168 | lrm: 1.00 | dt: 231ms | tok/sec: 1,135,843 | mfu: 39.7% | epoch: 1 | remaining: 291s    
step 00049 (2.9%) | loss: 4.936767 | lrm: 1.00 | dt: 232ms | tok/sec: 1,130,475 | mfu: 39.5% | epoch: 1 | remaining: 291s    
step 00050 (3.0%) | loss: 4.914807 | lrm: 1.00 | dt: 233ms | tok/sec: 1,127,286 | mfu: 39.4% | epoch: 1 | remaining: 291s    
step 00051 (3.1%) | loss: 4.889260 | lrm: 1.00 | dt: 227ms | tok/sec: 1,155,240 | mfu: 40.4% | epoch: 1 | remaining: 291s    
step 00052 (3.2%) | loss: 4.865768 | lrm: 1.00 | dt: 231ms | tok/sec: 1,135,647 | mfu: 39.7% | epoch: 1 | remaining: 290s    
step 00053 (3.2%) | loss: 4.841625 | lrm: 1.00 | dt: 233ms | tok/sec: 1,124,808 | mfu: 39.3% | epoch: 1 | remaining: 290s    
step 00054 (3.3%) | loss: 4.813817 | lrm: 1.00 | dt: 233ms | tok/sec: 1,124,648 | mfu: 39.3% | epoch: 1 | remaining: 290s    
step 00055 (3.4%) | loss: 4.790847 | lrm: 1.00 | dt: 230ms | tok/sec: 1,139,527 | mfu: 39.9% | epoch: 1 | remaining: 290s    
step 00056 (3.5%) | loss: 4.767982 | lrm: 1.00 | dt: 232ms | tok/sec: 1,129,176 | mfu: 39.5% | epoch: 1 | remaining: 289s    
step 00057 (3.5%) | loss: 4.746037 | lrm: 1.00 | dt: 232ms | tok/sec: 1,130,075 | mfu: 39.5% | epoch: 1 | remaining: 289s    
step 00058 (3.6%) | loss: 4.723219 | lrm: 1.00 | dt: 232ms | tok/sec: 1,128,422 | mfu: 39.5% | epoch: 1 | remaining: 289s    
step 00059 (3.7%) | loss: 4.701898 | lrm: 1.00 | dt: 230ms | tok/sec: 1,141,655 | mfu: 39.9% | epoch: 1 | remaining: 289s    
step 00060 (3.8%) | loss: 4.681572 | lrm: 1.00 | dt: 235ms | tok/sec: 1,114,142 | mfu: 39.0% | epoch: 1 | remaining: 288s    
step 00061 (3.9%) | loss: 4.656428 | lrm: 1.00 | dt: 226ms | tok/sec: 1,162,247 | mfu: 40.6% | epoch: 1 | remaining: 288s    
step 00062 (3.9%) | loss: 4.632338 | lrm: 1.00 | dt: 231ms | tok/sec: 1,135,078 | mfu: 39.7% | epoch: 1 | remaining: 288s    
step 00063 (4.0%) | loss: 4.608316 | lrm: 1.00 | dt: 229ms | tok/sec: 1,146,944 | mfu: 40.1% | epoch: 1 | remaining: 288s    
step 00064 (4.1%) | loss: 4.584032 | lrm: 1.00 | dt: 234ms | tok/sec: 1,118,668 | mfu: 39.1% | epoch: 1 | remaining: 288s    
step 00065 (4.2%) | loss: 4.558797 | lrm: 1.00 | dt: 230ms | tok/sec: 1,137,303 | mfu: 39.8% | epoch: 1 | remaining: 287s    
step 00066 (4.2%) | loss: 4.536944 | lrm: 1.00 | dt: 230ms | tok/sec: 1,137,779 | mfu: 39.8% | epoch: 1 | remaining: 287s    
step 00067 (4.3%) | loss: 4.514674 | lrm: 1.00 | dt: 230ms | tok/sec: 1,140,450 | mfu: 39.9% | epoch: 1 | remaining: 287s    
step 00068 (4.4%) | loss: 4.488703 | lrm: 1.00 | dt: 229ms | tok/sec: 1,143,623 | mfu: 40.0% | epoch: 1 | remaining: 287s    
step 00069 (4.5%) | loss: 4.461985 | lrm: 1.00 | dt: 232ms | tok/sec: 1,130,155 | mfu: 39.5% | epoch: 1 | remaining: 286s    
step 00070 (4.5%) | loss: 4.435640 | lrm: 1.00 | dt: 235ms | tok/sec: 1,114,316 | mfu: 39.0% | epoch: 1 | remaining: 286s    
step 00071 (4.6%) | loss: 4.414798 | lrm: 1.00 | dt: 227ms | tok/sec: 1,154,766 | mfu: 40.4% | epoch: 1 | remaining: 286s    
step 00072 (4.7%) | loss: 4.395359 | lrm: 1.00 | dt: 230ms | tok/sec: 1,140,256 | mfu: 39.9% | epoch: 1 | remaining: 286s    
step 00073 (4.8%) | loss: 4.374931 | lrm: 1.00 | dt: 231ms | tok/sec: 1,135,341 | mfu: 39.7% | epoch: 1 | remaining: 285s    
step 00074 (4.8%) | loss: 4.356448 | lrm: 1.00 | dt: 232ms | tok/sec: 1,129,128 | mfu: 39.5% | epoch: 1 | remaining: 285s    
step 00075 (4.9%) | loss: 4.335533 | lrm: 1.00 | dt: 230ms | tok/sec: 1,141,093 | mfu: 39.9% | epoch: 1 | remaining: 285s    
step 00076 (5.0%) | loss: 4.315122 | lrm: 1.00 | dt: 230ms | tok/sec: 1,137,713 | mfu: 39.8% | epoch: 1 | remaining: 285s    
