Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 20,971,520
  lm_head                 : 4,194,304
  transformer_matrices    : 31,457,920
  scalars                 : 20
  total                   : 60,818,068
Estimated FLOPs per token: 2.957023e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 18443ms | tok/sec: 14,213 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.853677 | lrm: 1.00 | dt: 186ms | tok/sec: 1,408,485 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.531132 | lrm: 1.00 | dt: 190ms | tok/sec: 1,378,950 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.103630 | lrm: 1.00 | dt: 190ms | tok/sec: 1,381,099 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.734172 | lrm: 1.00 | dt: 190ms | tok/sec: 1,378,540 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.394729 | lrm: 1.00 | dt: 209ms | tok/sec: 1,256,873 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.131006 | lrm: 1.00 | dt: 195ms | tok/sec: 1,345,885 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.918480 | lrm: 1.00 | dt: 195ms | tok/sec: 1,346,783 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.737890 | lrm: 1.00 | dt: 191ms | tok/sec: 1,371,579 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.583398 | lrm: 1.00 | dt: 192ms | tok/sec: 1,365,310 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.454915 | lrm: 1.00 | dt: 207ms | tok/sec: 1,265,346 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.341280 | lrm: 1.00 | dt: 199ms | tok/sec: 1,320,376 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.239841 | lrm: 1.00 | dt: 192ms | tok/sec: 1,362,039 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.154226 | lrm: 1.00 | dt: 192ms | tok/sec: 1,367,461 | mfu: 40.9% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.078246 | lrm: 1.00 | dt: 192ms | tok/sec: 1,362,238 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.008758 | lrm: 1.00 | dt: 199ms | tok/sec: 1,315,142 | mfu: 39.3% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.947508 | lrm: 1.00 | dt: 200ms | tok/sec: 1,311,800 | mfu: 39.2% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.889295 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,674 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00018 (0.5%) | loss: 5.838406 | lrm: 1.00 | dt: 194ms | tok/sec: 1,353,479 | mfu: 40.4% | epoch: 1 | remaining: 298s    
step 00019 (0.5%) | loss: 5.790737 | lrm: 1.00 | dt: 193ms | tok/sec: 1,358,805 | mfu: 40.6% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.745996 | lrm: 1.00 | dt: 201ms | tok/sec: 1,304,112 | mfu: 39.0% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.705931 | lrm: 1.00 | dt: 197ms | tok/sec: 1,330,768 | mfu: 39.8% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.671366 | lrm: 1.00 | dt: 196ms | tok/sec: 1,338,422 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00023 (0.8%) | loss: 5.637822 | lrm: 1.00 | dt: 191ms | tok/sec: 1,370,384 | mfu: 41.0% | epoch: 1 | remaining: 297s    
step 00024 (0.8%) | loss: 5.607007 | lrm: 1.00 | dt: 197ms | tok/sec: 1,330,498 | mfu: 39.8% | epoch: 1 | remaining: 297s    
step 00025 (0.9%) | loss: 5.576173 | lrm: 1.00 | dt: 199ms | tok/sec: 1,317,792 | mfu: 39.4% | epoch: 1 | remaining: 297s    
step 00026 (1.0%) | loss: 5.546723 | lrm: 1.00 | dt: 198ms | tok/sec: 1,323,733 | mfu: 39.6% | epoch: 1 | remaining: 297s    
step 00027 (1.0%) | loss: 5.518447 | lrm: 1.00 | dt: 197ms | tok/sec: 1,329,502 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00028 (1.1%) | loss: 5.494386 | lrm: 1.00 | dt: 192ms | tok/sec: 1,362,832 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00029 (1.2%) | loss: 5.469963 | lrm: 1.00 | dt: 192ms | tok/sec: 1,363,297 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00030 (1.2%) | loss: 5.442530 | lrm: 1.00 | dt: 202ms | tok/sec: 1,300,467 | mfu: 38.9% | epoch: 1 | remaining: 296s    
step 00031 (1.3%) | loss: 5.418534 | lrm: 1.00 | dt: 195ms | tok/sec: 1,345,103 | mfu: 40.2% | epoch: 1 | remaining: 296s    
step 00032 (1.4%) | loss: 5.395564 | lrm: 1.00 | dt: 197ms | tok/sec: 1,328,122 | mfu: 39.7% | epoch: 1 | remaining: 296s    
step 00033 (1.4%) | loss: 5.373346 | lrm: 1.00 | dt: 196ms | tok/sec: 1,334,893 | mfu: 39.9% | epoch: 1 | remaining: 295s    
step 00034 (1.5%) | loss: 5.349776 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,432 | mfu: 40.4% | epoch: 1 | remaining: 295s    
step 00035 (1.6%) | loss: 5.325532 | lrm: 1.00 | dt: 199ms | tok/sec: 1,320,444 | mfu: 39.5% | epoch: 1 | remaining: 295s    
step 00036 (1.6%) | loss: 5.302043 | lrm: 1.00 | dt: 196ms | tok/sec: 1,338,913 | mfu: 40.0% | epoch: 1 | remaining: 295s    
step 00037 (1.7%) | loss: 5.279759 | lrm: 1.00 | dt: 199ms | tok/sec: 1,318,438 | mfu: 39.4% | epoch: 1 | remaining: 295s    
step 00038 (1.8%) | loss: 5.255982 | lrm: 1.00 | dt: 195ms | tok/sec: 1,344,922 | mfu: 40.2% | epoch: 1 | remaining: 295s    
step 00039 (1.8%) | loss: 5.232379 | lrm: 1.00 | dt: 194ms | tok/sec: 1,350,235 | mfu: 40.4% | epoch: 1 | remaining: 294s    
step 00040 (1.9%) | loss: 5.211907 | lrm: 1.00 | dt: 201ms | tok/sec: 1,301,497 | mfu: 38.9% | epoch: 1 | remaining: 294s    
step 00041 (2.0%) | loss: 5.187859 | lrm: 1.00 | dt: 192ms | tok/sec: 1,363,316 | mfu: 40.7% | epoch: 1 | remaining: 294s    
step 00042 (2.0%) | loss: 5.166831 | lrm: 1.00 | dt: 196ms | tok/sec: 1,334,989 | mfu: 39.9% | epoch: 1 | remaining: 294s    
step 00043 (2.1%) | loss: 5.142188 | lrm: 1.00 | dt: 193ms | tok/sec: 1,354,984 | mfu: 40.5% | epoch: 1 | remaining: 294s    
