Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011368 | lrm: 1.00 | dt: 28427ms | tok/sec: 4,610 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.885607 | lrm: 1.00 | dt: 79ms | tok/sec: 1,657,378 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.542494 | lrm: 1.00 | dt: 79ms | tok/sec: 1,656,399 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.109491 | lrm: 1.00 | dt: 81ms | tok/sec: 1,622,517 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.743766 | lrm: 1.00 | dt: 80ms | tok/sec: 1,631,908 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.427984 | lrm: 1.00 | dt: 80ms | tok/sec: 1,646,246 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.178537 | lrm: 1.00 | dt: 80ms | tok/sec: 1,632,980 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.970888 | lrm: 1.00 | dt: 83ms | tok/sec: 1,574,536 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.795988 | lrm: 1.00 | dt: 80ms | tok/sec: 1,645,443 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.648427 | lrm: 1.00 | dt: 80ms | tok/sec: 1,637,284 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.520227 | lrm: 1.00 | dt: 85ms | tok/sec: 1,536,291 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.405981 | lrm: 1.00 | dt: 86ms | tok/sec: 1,516,672 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.311355 | lrm: 1.00 | dt: 88ms | tok/sec: 1,489,328 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.227633 | lrm: 1.00 | dt: 82ms | tok/sec: 1,592,788 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.151161 | lrm: 1.00 | dt: 112ms | tok/sec: 1,169,320 | mfu: 28.3% | epoch: 1 | remaining: 300s    
step 00015 (0.1%) | loss: 6.088599 | lrm: 1.00 | dt: 93ms | tok/sec: 1,405,532 | mfu: 34.0% | epoch: 1 | remaining: 300s    
step 00016 (0.2%) | loss: 6.033150 | lrm: 1.00 | dt: 88ms | tok/sec: 1,484,041 | mfu: 35.9% | epoch: 1 | remaining: 299s    
step 00017 (0.2%) | loss: 5.977860 | lrm: 1.00 | dt: 79ms | tok/sec: 1,649,457 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00018 (0.2%) | loss: 5.928732 | lrm: 1.00 | dt: 94ms | tok/sec: 1,388,563 | mfu: 33.5% | epoch: 1 | remaining: 299s    
step 00019 (0.2%) | loss: 5.884231 | lrm: 1.00 | dt: 88ms | tok/sec: 1,492,940 | mfu: 36.1% | epoch: 1 | remaining: 299s    
step 00020 (0.3%) | loss: 5.846642 | lrm: 1.00 | dt: 85ms | tok/sec: 1,544,618 | mfu: 37.3% | epoch: 1 | remaining: 299s    
step 00021 (0.3%) | loss: 5.811244 | lrm: 1.00 | dt: 85ms | tok/sec: 1,535,549 | mfu: 37.1% | epoch: 1 | remaining: 299s    
step 00022 (0.3%) | loss: 5.776410 | lrm: 1.00 | dt: 102ms | tok/sec: 1,280,213 | mfu: 30.9% | epoch: 1 | remaining: 299s    
step 00023 (0.4%) | loss: 5.742994 | lrm: 1.00 | dt: 79ms | tok/sec: 1,651,052 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00024 (0.4%) | loss: 5.712688 | lrm: 1.00 | dt: 81ms | tok/sec: 1,621,727 | mfu: 39.2% | epoch: 1 | remaining: 299s    
step 00025 (0.4%) | loss: 5.676115 | lrm: 1.00 | dt: 82ms | tok/sec: 1,601,059 | mfu: 38.7% | epoch: 1 | remaining: 299s    
step 00026 (0.4%) | loss: 5.646859 | lrm: 1.00 | dt: 83ms | tok/sec: 1,577,378 | mfu: 38.1% | epoch: 1 | remaining: 299s    
step 00027 (0.5%) | loss: 5.621591 | lrm: 1.00 | dt: 83ms | tok/sec: 1,579,885 | mfu: 38.2% | epoch: 1 | remaining: 299s    
step 00028 (0.5%) | loss: 5.597583 | lrm: 1.00 | dt: 80ms | tok/sec: 1,630,500 | mfu: 39.4% | epoch: 1 | remaining: 298s    
step 00029 (0.5%) | loss: 5.570736 | lrm: 1.00 | dt: 82ms | tok/sec: 1,590,944 | mfu: 38.4% | epoch: 1 | remaining: 298s    
step 00030 (0.6%) | loss: 5.545254 | lrm: 1.00 | dt: 87ms | tok/sec: 1,508,337 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00031 (0.6%) | loss: 5.519754 | lrm: 1.00 | dt: 99ms | tok/sec: 1,318,802 | mfu: 31.9% | epoch: 1 | remaining: 298s    
step 00032 (0.6%) | loss: 5.492624 | lrm: 1.00 | dt: 80ms | tok/sec: 1,646,246 | mfu: 39.8% | epoch: 1 | remaining: 298s    
